Trace file,Capacity,Assoc,Block size,Policy,Total Misses,Miss Rate
456.hmmer-191B.trace.txt.gz,32kB,1,64B,l,10465,1.046,10465,1.046
456.hmmer-191B.trace.txt.gz,32kB,2,64B,l,7094,0.709,7094,0.709
456.hmmer-191B.trace.txt.gz,32kB,4,64B,l,4504,0.450,4504,0.450
456.hmmer-191B.trace.txt.gz,32kB,8,64B,l,4097,0.410,4097,0.410
456.hmmer-191B.trace.txt.gz,32kB,16,64B,l,3680,0.368,3680,0.368
456.hmmer-191B.trace.txt.gz,32kB,8,16B,l,14708,1.471,14708,1.471
456.hmmer-191B.trace.txt.gz,32kB,8,32B,l,7632,0.763,7632,0.763
456.hmmer-191B.trace.txt.gz,32kB,8,64B,l,4097,0.410,4097,0.410
456.hmmer-191B.trace.txt.gz,32kB,8,128B,l,2286,0.229,2286,0.229
456.hmmer-191B.trace.txt.gz,32kB,8,64B,l,4097,0.410,4097,0.410
456.hmmer-191B.trace.txt.gz,32kB,8,64B,r,5737,0.574,5737,0.574
462.libquantum-1343B.trace.txt.gz,8kB,8,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,16kB,8,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,32kB,8,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,64kB,8,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,128kB,8,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,32kB,1,64B,l,18615,1.861,18615,1.861
462.libquantum-1343B.trace.txt.gz,32kB,2,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,32kB,4,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,32kB,8,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,32kB,16,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,32kB,8,16B,l,70583,7.058,70583,7.058
462.libquantum-1343B.trace.txt.gz,32kB,8,32B,l,35294,3.529,35294,3.529
462.libquantum-1343B.trace.txt.gz,32kB,8,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,32kB,8,128B,l,8826,0.883,8826,0.883
462.libquantum-1343B.trace.txt.gz,32kB,8,64B,l,17649,1.765,17649,1.765
462.libquantum-1343B.trace.txt.gz,32kB,8,64B,r,17795,1.780,17795,1.780
401.bzip2-226B.trace.txt.gz,8kB,8,64B,l,23729,2.373,23729,2.373
401.bzip2-226B.trace.txt.gz,16kB,8,64B,l,21467,2.147,21467,2.147
401.bzip2-226B.trace.txt.gz,32kB,8,64B,l,18860,1.886,18860,1.886
401.bzip2-226B.trace.txt.gz,64kB,8,64B,l,15453,1.545,15453,1.545
